x1,x2,x3,x4,x5
0.045,0.045,0.045,0.045,0.0445
0.154,0.1535,0.1545,0.1555,0.155
0.45,0.4515,0.451,0.4495,0.4505
0.7655,0.765,0.766,0.766,0.767
0.9515,0.951,0.951,0.951,0.951
0.995,0.995,0.995,0.995,0.995
0.048,0.048,0.0485,0.0485,0.0485
0.1585,0.1585,0.158,0.158,0.1575
0.4625,0.4625,0.463,0.463,0.465
0.772,0.772,0.7715,0.772,0.772
0.9535,0.953,0.953,0.953,0.9535
0.994,0.994,0.994,0.994,0.994
0.052,0.052,0.052,0.052,0.052
0.17,0.1685,0.168,0.168,0.1675
0.4575,0.4565,0.4545,0.455,0.4575
0.773,0.772,0.773,0.7715,0.7705
0.954,0.9535,0.9535,0.9535,0.9535
0.996,0.9955,0.9955,0.9955,0.996
0.043,0.043,0.043,0.043,0.043
0.1655,0.167,0.166,0.1655,0.1665
0.488,0.489,0.489,0.4885,0.4885
0.7865,0.7855,0.7865,0.786,0.783
0.9545,0.955,0.955,0.9565,0.9565
0.996,0.996,0.996,0.996,0.996
0.0385,0.0385,0.039,0.039,0.039
0.2695,0.2695,0.2695,0.2685,0.268
0.7375,0.7355,0.735,0.7355,0.7355
0.9725,0.972,0.972,0.972,0.9725
0.9995,0.9995,0.9995,0.999,0.999
1.0,1.0,1.0,1.0,1.0
0.0545,0.0545,0.0545,0.0545,0.0545
0.2575,0.257,0.2565,0.255,0.2555
0.7455,0.746,0.746,0.7455,0.7445
0.977,0.9765,0.9765,0.9765,0.977
0.9985,0.9985,0.9985,0.9985,0.9985
1.0,1.0,1.0,1.0,1.0
0.056,0.0555,0.0555,0.0555,0.0555
0.2495,0.25,0.2495,0.2495,0.25
0.7505,0.7485,0.749,0.75,0.75
0.9755,0.975,0.975,0.975,0.9755
0.9995,0.9995,0.9995,0.9995,0.9995
1.0,1.0,1.0,1.0,1.0
0.0485,0.0485,0.0485,0.0485,0.0485
0.276,0.275,0.2745,0.275,0.2745
0.759,0.7575,0.758,0.7585,0.758
0.973,0.973,0.973,0.973,0.973
0.999,0.999,0.999,0.999,0.999
1.0,1.0,1.0,1.0,1.0
