x1,x2,x3,x4,x5
0.059,0.06,0.062,0.062,0.066
0.1,0.111,0.11,0.111,0.108
0.321,0.387,0.383,0.384,0.379
0.636,0.71,0.709,0.708,0.708
0.897,0.947,0.946,0.943,0.943
0.981,0.991,0.991,0.991,0.99
0.067,0.065,0.066,0.068,0.065
0.112,0.128,0.127,0.129,0.132
0.319,0.385,0.387,0.388,0.391
0.661,0.738,0.74,0.739,0.74
0.879,0.928,0.93,0.93,0.93
0.97,0.992,0.992,0.992,0.992
0.041,0.039,0.039,0.041,0.041
0.111,0.133,0.133,0.131,0.131
0.309,0.362,0.359,0.358,0.356
0.619,0.713,0.714,0.712,0.717
0.869,0.935,0.934,0.936,0.937
0.984,0.992,0.992,0.992,0.992
0.047,0.046,0.046,0.046,0.048
0.088,0.097,0.103,0.103,0.108
0.281,0.339,0.342,0.354,0.353
0.64,0.725,0.726,0.727,0.728
0.856,0.907,0.905,0.908,0.909
0.979,0.99,0.99,0.99,0.99
0.051,0.05,0.049,0.047,0.052
0.164,0.202,0.202,0.202,0.202
0.59,0.672,0.677,0.678,0.676
0.935,0.961,0.961,0.962,0.963
0.996,0.999,0.999,0.999,0.999
1.0,1.0,1.0,1.0,1.0
0.051,0.047,0.045,0.044,0.041
0.174,0.206,0.206,0.204,0.205
0.561,0.675,0.677,0.679,0.682
0.939,0.97,0.97,0.967,0.967
0.998,0.999,0.999,0.999,0.999
0.999,0.999,0.999,0.999,0.999
0.047,0.029,0.029,0.029,0.033
0.154,0.203,0.203,0.202,0.199
0.606,0.689,0.692,0.692,0.692
0.925,0.956,0.956,0.956,0.955
0.998,0.999,0.999,0.999,0.999
1.0,1.0,1.0,1.0,1.0
0.059,0.047,0.046,0.045,0.048
0.228,0.277,0.277,0.275,0.267
0.585,0.687,0.688,0.687,0.687
0.916,0.958,0.958,0.958,0.958
0.997,0.998,0.998,0.998,0.998
1.0,1.0,1.0,1.0,1.0
