Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
0.016,0.012,0.012,0.012,0.016,0.012,0.052,0.036,0.036,0.036,0.036,0.05,0.08,0.08,0.08,0.082,0.082,0.086
0.114,0.182,0.182,0.18,0.184,0.128,0.28,0.342,0.344,0.344,0.35,0.338,0.406,0.45,0.452,0.452,0.456,0.45
0.588,0.666,0.664,0.668,0.668,0.542,0.784,0.854,0.854,0.854,0.852,0.77,0.876,0.902,0.902,0.902,0.904,0.856
0.984,0.99,0.99,0.99,0.99,0.988,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.008,0.006,0.006,0.006,0.006,0.01,0.042,0.04,0.042,0.042,0.042,0.044,0.094,0.098,0.098,0.098,0.1,0.11
0.108,0.142,0.14,0.138,0.144,0.124,0.27,0.318,0.322,0.322,0.318,0.294,0.38,0.454,0.456,0.458,0.456,0.384
0.592,0.658,0.658,0.658,0.662,0.626,0.822,0.87,0.87,0.87,0.872,0.812,0.892,0.926,0.926,0.926,0.926,0.896
0.98,0.982,0.982,0.98,0.982,0.986,0.998,1.0,1.0,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.012,0.016,0.016,0.016,0.016,0.012,0.05,0.05,0.048,0.048,0.046,0.062,0.102,0.106,0.108,0.106,0.104,0.118
0.14,0.15,0.152,0.154,0.158,0.138,0.29,0.342,0.34,0.334,0.332,0.3,0.382,0.444,0.442,0.44,0.436,0.396
0.654,0.696,0.696,0.696,0.702,0.64,0.832,0.862,0.862,0.862,0.862,0.836,0.878,0.92,0.92,0.92,0.918,0.884
0.976,0.98,0.98,0.98,0.98,0.976,0.99,0.994,0.994,0.994,0.994,0.99,0.998,0.998,0.998,0.996,0.996,0.998
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.01,0.01,0.01,0.012,0.008,0.058,0.06,0.062,0.062,0.06,0.048,0.096,0.1,0.1,0.1,0.102,0.08
0.12,0.168,0.168,0.17,0.17,0.11,0.318,0.36,0.358,0.354,0.352,0.27,0.414,0.454,0.454,0.454,0.456,0.382
0.61,0.682,0.684,0.684,0.682,0.57,0.836,0.888,0.886,0.886,0.886,0.794,0.906,0.924,0.924,0.924,0.926,0.892
0.972,0.984,0.984,0.984,0.984,0.97,0.994,0.996,0.996,0.996,0.996,0.992,0.996,1.0,1.0,1.0,1.0,0.996
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
