Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27
0.012,0.016,0.016,0.016,0.016,0.008,0.192,0.016,0.006,0.044,0.058,0.058,0.058,0.056,0.05,0.34,0.06,0.044,0.1,0.092,0.092,0.094,0.096,0.09,0.438,0.094,0.102
0.304,0.4,0.402,0.406,0.414,0.238,0.114,0.282,0.42,0.516,0.626,0.626,0.626,0.626,0.494,0.278,0.514,0.624,0.658,0.714,0.714,0.714,0.712,0.642,0.378,0.656,0.732
0.964,0.976,0.978,0.978,0.978,0.93,0.704,0.936,0.972,0.992,0.994,0.994,0.994,0.994,0.992,0.872,0.98,0.996,0.994,0.996,0.996,0.996,0.996,0.994,0.92,0.99,0.996
1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,0.01,0.01,0.01,0.008,0.016,0.058,0.022,0.01,0.058,0.066,0.066,0.066,0.068,0.044,0.13,0.072,0.05,0.102,0.124,0.124,0.124,0.124,0.098,0.226,0.14,0.114
0.302,0.362,0.362,0.36,0.358,0.248,0.154,0.342,0.406,0.492,0.578,0.58,0.578,0.576,0.44,0.312,0.534,0.61,0.62,0.696,0.696,0.696,0.698,0.586,0.43,0.638,0.754
0.958,0.968,0.968,0.968,0.968,0.922,0.726,0.948,0.978,0.988,0.994,0.994,0.994,0.994,0.982,0.88,0.97,0.992,0.994,0.996,0.996,0.996,0.996,0.994,0.928,0.986,0.996
1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.014,0.014,0.014,0.014,0.014,0.012,0.056,0.04,0.026,0.046,0.058,0.058,0.058,0.058,0.06,0.128,0.098,0.066,0.114,0.11,0.11,0.108,0.1,0.12,0.206,0.164,0.122
0.252,0.324,0.32,0.326,0.33,0.258,0.132,0.338,0.448,0.444,0.562,0.562,0.564,0.568,0.478,0.27,0.576,0.648,0.604,0.682,0.678,0.682,0.678,0.604,0.378,0.672,0.764
0.934,0.97,0.97,0.966,0.968,0.946,0.698,0.946,0.978,0.982,0.99,0.99,0.99,0.99,0.99,0.84,0.99,0.994,0.994,0.994,0.994,0.994,0.994,0.996,0.9,0.992,0.996
1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,0.016,0.016,0.016,0.016,0.012,0.012,0.02,0.012,0.06,0.048,0.05,0.05,0.052,0.058,0.036,0.062,0.05,0.1,0.104,0.104,0.108,0.108,0.11,0.052,0.122,0.124
0.33,0.408,0.408,0.408,0.408,0.276,0.016,0.33,0.458,0.536,0.624,0.624,0.624,0.632,0.534,0.1,0.524,0.69,0.64,0.722,0.722,0.716,0.716,0.64,0.174,0.654,0.802
0.974,0.978,0.978,0.978,0.978,0.956,0.32,0.96,0.986,0.994,0.998,1.0,1.0,1.0,0.992,0.6,0.986,1.0,0.998,1.0,1.0,1.0,1.0,0.998,0.74,0.998,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
