Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27
0.014,0.01,0.01,0.01,0.016,0.01,0.024,0.03,0.02,0.06,0.048,0.05,0.05,0.05,0.056,0.09,0.092,0.086,0.11,0.11,0.11,0.108,0.098,0.112,0.176,0.16,0.156
0.046,0.058,0.056,0.062,0.058,0.042,0.038,0.038,0.142,0.142,0.146,0.148,0.146,0.142,0.144,0.12,0.154,0.292,0.228,0.24,0.242,0.242,0.242,0.218,0.21,0.224,0.372
0.204,0.274,0.274,0.274,0.266,0.194,0.114,0.2,0.468,0.404,0.44,0.442,0.442,0.442,0.414,0.28,0.416,0.662,0.52,0.554,0.552,0.552,0.552,0.506,0.414,0.518,0.744
0.542,0.632,0.634,0.632,0.626,0.5,0.332,0.48,0.828,0.748,0.79,0.792,0.798,0.792,0.75,0.578,0.732,0.922,0.834,0.874,0.876,0.876,0.876,0.822,0.716,0.836,0.954
0.87,0.898,0.898,0.898,0.892,0.826,0.644,0.798,0.974,0.95,0.962,0.962,0.962,0.962,0.952,0.832,0.942,0.994,0.968,0.98,0.98,0.982,0.982,0.966,0.906,0.974,0.996
0.982,0.988,0.988,0.988,0.988,0.97,0.874,0.97,0.998,0.996,0.998,0.998,0.998,0.998,0.996,0.958,0.998,1.0,0.998,0.998,0.998,0.998,0.998,0.996,0.986,0.998,1.0
0.01,0.01,0.01,0.01,0.01,0.012,0.022,0.014,0.006,0.06,0.05,0.05,0.052,0.052,0.076,0.07,0.058,0.032,0.114,0.098,0.096,0.092,0.094,0.136,0.11,0.118,0.072
0.038,0.042,0.042,0.042,0.044,0.042,0.012,0.03,0.048,0.128,0.132,0.132,0.134,0.134,0.154,0.062,0.126,0.138,0.212,0.228,0.226,0.228,0.232,0.236,0.11,0.194,0.23
0.194,0.24,0.238,0.234,0.24,0.216,0.038,0.136,0.232,0.418,0.476,0.478,0.48,0.484,0.454,0.136,0.386,0.516,0.546,0.606,0.606,0.608,0.612,0.574,0.236,0.534,0.628
0.55,0.634,0.642,0.642,0.644,0.576,0.086,0.47,0.63,0.782,0.824,0.826,0.826,0.824,0.81,0.344,0.732,0.864,0.864,0.892,0.894,0.888,0.89,0.884,0.494,0.858,0.916
0.866,0.9,0.894,0.89,0.9,0.88,0.244,0.806,0.918,0.964,0.97,0.97,0.97,0.97,0.974,0.634,0.95,0.98,0.988,0.986,0.986,0.988,0.988,0.986,0.776,0.972,0.994
0.984,0.99,0.988,0.988,0.988,0.986,0.518,0.966,0.994,0.996,0.998,0.998,0.998,0.998,0.996,0.876,0.996,0.998,0.998,1.0,1.0,1.0,1.0,0.998,0.932,0.998,1.0
0.018,0.014,0.014,0.016,0.02,0.012,0.01,0.004,0.038,0.052,0.056,0.058,0.054,0.052,0.062,0.036,0.026,0.104,0.094,0.088,0.088,0.09,0.09,0.094,0.068,0.048,0.164
0.038,0.046,0.046,0.05,0.052,0.032,0.014,0.016,0.13,0.132,0.138,0.134,0.134,0.132,0.132,0.046,0.054,0.29,0.196,0.212,0.218,0.22,0.222,0.202,0.092,0.112,0.384
0.22,0.246,0.246,0.246,0.26,0.174,0.042,0.1,0.508,0.39,0.472,0.472,0.476,0.474,0.398,0.134,0.25,0.702,0.496,0.568,0.576,0.574,0.576,0.504,0.22,0.394,0.784
0.542,0.64,0.632,0.636,0.632,0.502,0.154,0.368,0.852,0.76,0.83,0.832,0.83,0.83,0.766,0.348,0.642,0.944,0.838,0.882,0.882,0.882,0.884,0.852,0.504,0.8,0.966
0.878,0.926,0.924,0.924,0.928,0.862,0.402,0.794,0.984,0.966,0.98,0.98,0.982,0.982,0.972,0.724,0.922,0.996,0.988,0.99,0.99,0.99,0.99,0.992,0.816,0.956,1.0
0.994,0.992,0.994,0.994,0.994,0.99,0.77,0.956,1.0,0.998,1.0,1.0,1.0,1.0,0.998,0.932,0.992,1.0,0.998,1.0,1.0,1.0,1.0,0.998,0.97,0.996,1.0
0.008,0.006,0.006,0.006,0.008,0.008,0.018,0.024,0.024,0.032,0.044,0.042,0.042,0.044,0.044,0.076,0.074,0.07,0.068,0.066,0.066,0.066,0.068,0.092,0.15,0.142,0.136
0.034,0.038,0.038,0.038,0.036,0.044,0.028,0.054,0.138,0.1,0.106,0.11,0.11,0.114,0.11,0.08,0.178,0.288,0.146,0.198,0.194,0.196,0.194,0.186,0.16,0.284,0.378
0.176,0.238,0.238,0.222,0.222,0.216,0.056,0.266,0.488,0.37,0.474,0.476,0.476,0.476,0.422,0.172,0.52,0.732,0.522,0.606,0.606,0.61,0.612,0.564,0.328,0.668,0.79
0.576,0.68,0.68,0.656,0.66,0.628,0.168,0.658,0.882,0.784,0.85,0.848,0.848,0.846,0.812,0.426,0.852,0.95,0.868,0.91,0.912,0.918,0.918,0.886,0.634,0.918,0.958
0.89,0.934,0.934,0.932,0.932,0.914,0.444,0.914,0.976,0.976,0.98,0.98,0.98,0.982,0.976,0.754,0.968,0.996,0.982,0.992,0.992,0.992,0.992,0.986,0.884,0.988,0.998
0.992,0.996,0.996,0.996,0.996,0.994,0.742,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0
