x1,x2,x3,x4,x5
0.0105,0.0105,0.0105,0.0105,0.01
0.047,0.047,0.048,0.0475,0.046
0.248,0.2475,0.247,0.2485,0.248
0.5605,0.56,0.5605,0.5625,0.566
0.831,0.8305,0.8305,0.831,0.835
0.975,0.975,0.9755,0.9755,0.975
0.01,0.0095,0.0095,0.01,0.0095
0.045,0.045,0.045,0.0435,0.043
0.2225,0.2225,0.222,0.223,0.222
0.574,0.574,0.573,0.5735,0.571
0.851,0.852,0.852,0.85,0.8505
0.975,0.975,0.975,0.9755,0.976
0.012,0.012,0.012,0.012,0.012
0.06,0.061,0.06,0.0595,0.0595
0.2265,0.226,0.2255,0.226,0.2275
0.516,0.5175,0.5165,0.5165,0.5145
0.874,0.875,0.875,0.8765,0.8765
0.975,0.975,0.975,0.975,0.9755
0.01,0.01,0.01,0.01,0.01
0.0545,0.0545,0.0545,0.0545,0.0555
0.255,0.2535,0.256,0.2565,0.256
0.532,0.531,0.5295,0.5305,0.5285
0.8535,0.8535,0.852,0.852,0.851
0.9725,0.9725,0.9735,0.9735,0.974
0.0085,0.0085,0.0085,0.0085,0.0085
0.1115,0.1115,0.111,0.1105,0.1095
0.5035,0.501,0.501,0.5005,0.502
0.9,0.9,0.9,0.9005,0.9
0.997,0.997,0.997,0.9975,0.9975
1.0,1.0,1.0,1.0,1.0
0.009,0.009,0.009,0.009,0.01
0.1015,0.1005,0.1005,0.1025,0.104
0.5265,0.526,0.525,0.5245,0.5235
0.9125,0.912,0.9115,0.9125,0.913
0.9985,0.9985,0.9985,0.9985,0.9985
1.0,1.0,1.0,1.0,1.0
0.0105,0.01,0.01,0.01,0.01
0.079,0.078,0.0785,0.078,0.0785
0.5165,0.5155,0.5155,0.5165,0.516
0.9165,0.915,0.916,0.917,0.918
0.994,0.994,0.9935,0.9935,0.9935
1.0,1.0,1.0,1.0,1.0
0.006,0.0055,0.006,0.0065,0.007
0.126,0.1265,0.1265,0.127,0.127
0.482,0.48,0.48,0.4795,0.478
0.9015,0.901,0.901,0.9005,0.9
0.995,0.995,0.995,0.9955,0.9955
1.0,1.0,1.0,1.0,1.0
