x1,x2,x3,x4,x5
0.014,0.017,0.018,0.018,0.014
0.032,0.035,0.036,0.035,0.032
0.155,0.205,0.203,0.201,0.194
0.387,0.451,0.45,0.438,0.443
0.748,0.824,0.824,0.827,0.827
0.907,0.953,0.954,0.956,0.961
0.01,0.007,0.007,0.007,0.007
0.041,0.048,0.048,0.05,0.051
0.139,0.179,0.175,0.171,0.195
0.427,0.52,0.53,0.529,0.513
0.719,0.794,0.797,0.786,0.79
0.928,0.957,0.958,0.959,0.96
0.004,0.006,0.005,0.006,0.005
0.033,0.039,0.039,0.037,0.038
0.113,0.157,0.158,0.156,0.156
0.375,0.52,0.52,0.511,0.5
0.719,0.815,0.815,0.812,0.808
0.924,0.956,0.955,0.954,0.957
0.008,0.007,0.007,0.007,0.009
0.023,0.03,0.03,0.03,0.03
0.129,0.177,0.181,0.185,0.194
0.393,0.511,0.521,0.525,0.516
0.664,0.764,0.76,0.762,0.754
0.927,0.959,0.955,0.955,0.957
0.01,0.011,0.011,0.012,0.013
0.054,0.073,0.072,0.072,0.074
0.321,0.459,0.457,0.452,0.455
0.748,0.862,0.862,0.857,0.864
0.989,0.995,0.995,0.995,0.995
1.0,1.0,1.0,1.0,1.0
0.01,0.007,0.007,0.006,0.007
0.071,0.106,0.111,0.115,0.118
0.339,0.439,0.432,0.428,0.441
0.798,0.886,0.886,0.891,0.889
0.981,0.994,0.993,0.993,0.993
0.999,0.999,0.999,0.999,0.999
0.009,0.007,0.007,0.007,0.007
0.039,0.062,0.062,0.063,0.065
0.364,0.467,0.469,0.459,0.446
0.788,0.868,0.868,0.867,0.869
0.98,0.994,0.994,0.993,0.992
0.999,1.0,1.0,1.0,1.0
0.011,0.01,0.01,0.01,0.011
0.059,0.103,0.104,0.102,0.097
0.33,0.454,0.449,0.442,0.437
0.794,0.857,0.86,0.861,0.862
0.967,0.993,0.993,0.993,0.992
0.999,1.0,1.0,1.0,1.0
