x1,x2,x3,x4,x5
0.0915,0.0915,0.0915,0.0915,0.092
0.2445,0.2445,0.2445,0.244,0.2435
0.583,0.582,0.582,0.582,0.5805
0.8615,0.861,0.861,0.861,0.86
0.9785,0.9785,0.9785,0.9785,0.978
0.9975,0.9975,0.9975,0.9975,0.9975
0.1025,0.102,0.1015,0.101,0.101
0.263,0.2625,0.2625,0.2625,0.262
0.5885,0.5875,0.5875,0.5875,0.587
0.861,0.86,0.8605,0.861,0.861
0.9775,0.977,0.977,0.977,0.977
0.998,0.998,0.998,0.998,0.998
0.095,0.0955,0.0955,0.096,0.0955
0.2335,0.2325,0.233,0.233,0.2345
0.5925,0.5915,0.5925,0.5925,0.592
0.8615,0.861,0.861,0.861,0.862
0.9755,0.9755,0.9755,0.9755,0.9755
0.9975,0.9975,0.9975,0.9975,0.9975
0.0885,0.088,0.088,0.088,0.089
0.252,0.252,0.252,0.252,0.2535
0.604,0.602,0.601,0.6,0.5985
0.871,0.871,0.8705,0.8705,0.871
0.9765,0.9765,0.9765,0.9765,0.9765
1.0,1.0,1.0,1.0,1.0
0.088,0.0875,0.0875,0.0875,0.0865
0.38,0.3785,0.3775,0.3775,0.3785
0.8455,0.844,0.8445,0.845,0.8445
0.988,0.9875,0.9875,0.9875,0.9875
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.1035,0.1025,0.1025,0.1025,0.1025
0.362,0.3585,0.3595,0.361,0.3605
0.8315,0.8305,0.83,0.83,0.8285
0.992,0.9915,0.9915,0.9915,0.9915
0.9995,0.9995,0.9995,0.9995,0.9995
1.0,1.0,1.0,1.0,1.0
0.102,0.1015,0.1015,0.1025,0.1025
0.356,0.3545,0.355,0.355,0.354
0.8425,0.8415,0.8415,0.8415,0.841
0.9885,0.988,0.988,0.988,0.988
0.9995,0.9995,0.9995,0.9995,0.9995
1.0,1.0,1.0,1.0,1.0
0.106,0.104,0.104,0.1035,0.1045
0.375,0.3745,0.3745,0.374,0.374
0.8415,0.8405,0.8405,0.8405,0.842
0.984,0.984,0.984,0.984,0.984
0.9995,0.9995,0.9995,0.9995,0.9995
1.0,1.0,1.0,1.0,1.0
